Image_path,Class
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/pie_68.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/pie_86.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/00172.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/pie_39.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/00028.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/00066.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/pie_101.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/00073.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/00036.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/00055.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/pie_122.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/00114.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/00016.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/00188.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/00079.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/pie_47.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/pie_81.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/pie_34.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/00077.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/00219.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/pie_89.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/00183.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/pie_17.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/pie_115.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/00208.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/00091.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/00169.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/pie_6.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/00236.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/00043.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/pie_90.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/train/pie/pie_36.png,pie
