Image_path,Class
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_68.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_86.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_39.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_101.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_122.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_47.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_81.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_34.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_89.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_17.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_115.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_6.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_90.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_36.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_144.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_7.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_19.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_103.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_3.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_38.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_82.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_110.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_126.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_137.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_71.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_88.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_141.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_60.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_120.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_117.png,pie
/home/komaldadhich/Documents/study/Research/graph_percept/source/project/chart_percept/Chart_classifier/dataset/train/pie/pie_104.png,pie
